TMTID(SUBS),FSN,CHANGEDATE
653847,crizotinib (SUBS),20131018
1321553,CRM 197 carrier protein (SUBS),20250118
1279121,CRM197 carrier protein (SUBS),20230805
663031,cromoglicic acid (SUBS),20131102
804641,cross linked sodium hyaluronate (SUBS),20140602
825687,cross-linked hyaluronic acid (SUBS),20140721
915030,cross-linked polyacrylate polymer (SUBS),20150314
505051,crotamiton (SUBS),20130830
771954,crude coal tar (SUBS),20140407
877481,cupric sulfate? (SUBS),20150105
860651,cupric sulphate (SUBS),20141102
1112074,curcuminoids (SUBS),20190504
850194,cuttle fish bone (SUBS),20140914
223354,cyanocobalamin (SUBS),20131018
1161518,cyanthillium cinereum extract (SUBS),20200920
781435,cyclopentolate hydrochloride (SUBS),20240111
223747,cyclophosphamide (SUBS),20130627
223752,cycloserine (SUBS),20130627
772624,cyclosporine (SUBS),20140407
245221,cyproheptadine (SUBS),20130805
642902,cyproterone (SUBS),20131005
766496,cyproterone acetate (SUBS),20140407
223781,cytarabine (SUBS),20130627
1297042,cytisinicline (SUBS),20240501
832445,cytomegalovirus immunoglobulin (SUBS),20140803
648407,dabigatran etexilate (SUBS),20180504
1019241,dabrafenib (SUBS),20171116
223799,dacarbazine (SUBS),20130627
959850,daclatasvir (SUBS),20150922
223809,daclizumab (SUBS),20130627
1201584,dacomitinib (SUBS),20210901
223813,dactinomycin (SUBS),20131018
797623,d-alpha tocopherol (SUBS),20161017
1143046,d-alpha tocopheryl acetate (SUBS),20200415
223821,dalteparin sodium (SUBS),20130627
245311,danazol (SUBS),20130805
717531,dantrolene (SUBS),20140118
994022,dantrolene sodium (SUBS),20160904
851784,dapagliflozin (SUBS),20141004
788800,dapoxetine (SUBS),20140504
317289,dapsone (SUBS),20130805
720415,daptomycin (SUBS),20140118
1017215,daratumumab (SUBS),20171103
666269,darbepoetin alfa (SUBS),20131116
684641,darifenacin (SUBS),20140104
1310366,darolutamide (SUBS),20241005
648647,darunavir (SUBS),20131005
223832,dasatinib (SUBS),20130627
223845,decitabine (SUBS),20130627
323869,deferasirox (SUBS),20130805
326772,deferiprone (SUBS),20130805
720489,degarelix (SUBS),20140118
1317064,delamanid (SUBS),20241215
1123996,delta-9-tetrahydrocannabinol-cannabis extract (SUBS),20191102
831708,demeclocycline calcium (SUBS),20140803
1009061,"dengue tetravalent vaccine, live attenuated (SUBS)",20170602
1283132,"dengue virus serotype 1, live attenuated (SUBS)",20230915
1283150,"dengue virus serotype 2, live attenuated (SUBS)",20230915
1283178,"dengue virus serotype 3, live attenuated (SUBS)",20230915
1283197,"dengue virus serotype 4, live attenuated (SUBS)",20230915
739624,denosumab (SUBS),20140214
792268,deproteinised dialysate of calf blood (SUBS),20140519
646009,dequalinium chloride (SUBS),20131005
1295941,dermatophagoides farinae allergen extract (SUBS),20240412
1296450,dermatophagoides pteronyssinus allergen extract (SUBS),20240412
667050,desferrioxamine (SUBS),20180115
1012834,desferrioxamine mesilate (SUBS),20170819
692409,desflurane (SUBS),20140104
231530,desloratadine (SUBS),20130805
378244,desmopressin (SUBS),20130805
985378,desmopressin acetate (SUBS),20160605
277635,desogestrel (SUBS),20130805
499343,desoximetasone (SUBS),20130830
1276397,destrose (SUBS),20230715
417702,desvenlafaxine (SUBS),20130805
