TMTID(GPU),FSN,CHANGEDATE
235275,"allopurinol 100 mg film-coated tablet, 1 tablet (GPU)",20130805
234092,"allopurinol 100 mg tablet, 1 tablet (GPU)",20130805
235313,"allopurinol 300 mg film-coated tablet, 1 tablet (GPU)",20130805
235091,"allopurinol 300 mg tablet, 1 tablet (GPU)",20130805
683701,"almitrine 50 mg tablet, 1 tablet (GPU)",20140104
645335,"almitrine dimesilate 30 mg + raubasine 10 mg film-coated tablet, 1 tablet (GPU)",20131005
842755,"aloe 2 g/100 mL + benzoin 10 g/100 mL + storax 7.5 g/100 mL + tolu balsam 2.5 g/100 mL cutaneous solution, 450 mL bottle (GPU)",20140901
958579,"alogliptin 25 mg + pioglitazone 15 mg film-coated tablet, 1 tablet (GPU)",20150910
958611,"alogliptin 25 mg + pioglitazone 30 mg film-coated tablet, 1 tablet (GPU)",20150910
1000321,"alogliptin 25 mg film-coated tablet, 1 tablet (GPU)",20161215
1176066,"alpelisib 150 mg film-coated tablet, 1 tablet (GPU)",20210211
1176013,"alpelisib 200 mg film-coated tablet, 1 tablet (GPU)",20210211
1177899,"alpelisib 50 mg film-coated tablet, 1 tablet (GPU)",20210211
859456,"alpha tocopherol acetate 15 mg + ascorbic acid 70 mg + calcium pantothenate 10 mg + cyanocobalamin 5 mcg + ergocalciferol 400 iu + folic acid 100 mcg + nicotinamide 20 mg + pyridoxine hydrochloride 2 mg + retinol 4000 iu + riboflavin 2 mg + thiamine 2 mg coated tablet, 1 tablet (GPU)",20141019
1113894,"alpha tocopherol acetate 15 mg + ascorbic acid 70 mg + calcium pantothenate 10 mg + cyanocobalamin 5 mcg + ergocalciferol 400 iu + folic acid 100 mcg + nicotinamide 20 mg + pyridoxine hydrochloride 2 mg + retinol 4000 iu + riboflavin 2 mg + thiamine 2 mg tablet, 1 tablet (GPU)",20190516
913282,"alpha tocopherol acetate 3 mg + methyltestosterone 5 mg coated tablet, 1 tablet (GPU)",20150314
415284,"alprazolam 1 mg film-coated tablet, 1 tablet (GPU)",20130805
478477,"alprazolam 1 mg prolonged-release tablet, 1 tablet (GPU)",20130805
233204,"alprazolam 1 mg tablet, 1 tablet (GPU)",20130805
478522,"alprazolam 2 mg prolonged-release tablet, 1 tablet (GPU)",20130805
415324,"alprazolam 250 mcg film-coated tablet, 1 tablet (GPU)",20130805
233109,"alprazolam 250 mcg tablet, 1 tablet (GPU)",20130805
415369,"alprazolam 500 mcg film-coated tablet, 1 tablet (GPU)",20130805
478567,"alprazolam 500 mcg prolonged-release tablet, 1 tablet (GPU)",20130805
233150,"alprazolam 500 mcg tablet, 1 tablet (GPU)",20130805
799609,"alprostadil 500 mcg/1 mL concentrate for solution for infusion, 1 mL ampoule (GPU)",20140519
1281785,"alteplase 2 mg powder for solution for injection, 1 vial (GPU)",20230902
901681,"alteplase 2 mg/2 mL solution for injection, 1 mL vial (GPU)",20150228
654726,"alteplase 50 mg powder and solvent for solution for injection/infusion, 1 vial (GPU)",20131102
200086,"altretamine 50 mg capsule, hard, 1 capsule (GPU)",20150703
970938,"aluminium acetate 1 mL/40 mL cutaneous solution, 120 mL bottle (GPU)",20160117
