SUBSID,VTMID
225469,847438
1040288,1040300
696815,991073
894236,1178739
231771,231792
996727,1221477
295967,505154
317215,1040022
1138279,1162595
223438,220435
798564,798593
675723,675747
535222,535246
560907,672555
777173,777211
223768,223057
858076,251024
748895,958386
560884,673940
1160102,1327048
225917,679294
804641,804660
759203,759226
223137,220305
1026819,1104329
1188258,1188317
263693,859091
748427,259565
1160102,1286493
931965,1283522
228974,640205
234194,290551
223493,220720
523437,793928
279254,279277
334377,334396
595593,609371
777071,955452
816475,816512
907169,907182
223354,756144
531228,268624
755062,686188
748778,1018518
742529,775678
531228,967420
274204,274227
763570,967579
